epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,5584.74,1.90924,2.52174,2.01563,0.12995,0.07382,0.05621,0.02159,2.97999,4.24948,3.10536,0.000734438,0.000734438,0.000734438
69,5664.26,1.8694,2.55401,2.02484,0.06238,0.06034,0.04911,0.02029,2.91911,4.17031,3.03874,0.000721639,0.000721639,0.000721639
70,5743.51,1.85502,2.59063,2.0221,0.0925,0.0882,0.05449,0.02128,2.99721,4.05768,3.21272,0.0007088,0.0007088,0.0007088
71,5823.83,1.85762,2.48503,2.02001,0.18656,0.05371,0.05403,0.02301,2.9233,4.14664,3.12429,0.000695927,0.000695927,0.000695927
72,5904.1,1.81249,2.49523,1.98799,0.37385,0.09682,0.06909,0.03042,2.9011,4.20323,3.05022,0.000683026,0.000683026,0.000683026
73,5984.35,1.81562,2.54575,2.00137,0.43958,0.0882,0.08424,0.03073,2.89394,4.01944,3.0601,0.000670102,0.000670102,0.000670102
74,6068.55,1.82674,2.41604,1.96591,0.12396,0.12268,0.08153,0.03086,2.88401,4.00204,3.06377,0.000657161,0.000657161,0.000657161
75,6160.32,1.81879,2.46659,1.97089,0.15171,0.0882,0.07086,0.0285,2.94704,4.12103,3.23713,0.000644208,0.000644208,0.000644208
76,6245.94,1.74897,2.40678,1.91566,0.15364,0.06233,0.07579,0.03684,2.91163,4.22285,3.21729,0.00063125,0.00063125,0.00063125
77,6327.72,1.74179,2.29225,1.93987,0.11697,0.07095,0.06951,0.0354,2.84901,4.24408,3.07901,0.000618292,0.000618292,0.000618292
78,6408.11,1.75192,2.27915,1.9195,0.61186,0.0431,0.05397,0.02344,2.9533,4.35654,3.2235,0.000605339,0.000605339,0.000605339
79,6488.73,1.77068,2.24354,1.93244,0.11816,0.1317,0.08257,0.03802,2.98866,4.18181,3.27773,0.000592398,0.000592398,0.000592398
80,6569.15,1.72972,2.25255,1.90767,0.36274,0.06233,0.04386,0.01857,2.89985,4.20489,3.11781,0.000579474,0.000579474,0.000579474
81,6649.77,1.68183,2.20576,1.89134,0.07306,0.0882,0.05073,0.02338,2.91746,4.2427,3.05788,0.000566573,0.000566573,0.000566573
82,6731.16,1.66321,2.20169,1.85079,0.10719,0.12268,0.08528,0.03223,2.93716,4.13263,3.17132,0.0005537,0.0005537,0.0005537
83,6813.2,1.6468,2.19392,1.8488,0.28375,0.12268,0.09163,0.02756,2.88608,4.18831,3.11703,0.000540861,0.000540861,0.000540861
84,6896.04,1.63816,2.11255,1.86127,0.15949,0.13329,0.09324,0.03537,2.84393,4.20788,3.09292,0.000528062,0.000528062,0.000528062
85,6977.64,1.65419,2.09392,1.86073,0.17942,0.09682,0.07434,0.03595,2.87812,4.35104,3.12441,0.000515308,0.000515308,0.000515308
86,7062.64,1.64093,2.06378,1.85265,0.09461,0.13992,0.0726,0.03169,2.87517,4.38532,3.03794,0.000502605,0.000502605,0.000502605
87,7153.09,1.65954,2.07735,1.85453,0.11067,0.07759,0.07271,0.03457,2.91651,4.22054,3.11099,0.000489958,0.000489958,0.000489958
88,7236.43,1.6179,2.11993,1.80099,0.10887,0.07958,0.05377,0.02221,2.99085,4.39309,3.15226,0.000477373,0.000477373,0.000477373
89,7322.23,1.57685,1.97165,1.78962,0.09035,0.10544,0.07274,0.03051,2.90478,4.30655,3.1224,0.000464856,0.000464856,0.000464856
90,7407.94,1.57299,2.00265,1.79725,0.09439,0.12722,0.07059,0.03138,2.90875,4.35438,3.16553,0.000452412,0.000452412,0.000452412
91,7493.94,1.64502,2.0202,1.83751,0.07361,0.10544,0.06766,0.0251,2.95025,4.32493,3.30897,0.000440046,0.000440046,0.000440046
92,7574.93,1.64016,2.00226,1.82027,0.17031,0.12268,0.10608,0.03958,2.87007,4.24295,3.16424,0.000427764,0.000427764,0.000427764
93,7655.7,1.57126,1.99864,1.78859,0.08495,0.12908,0.08173,0.03719,2.85523,4.48344,3.02636,0.000415571,0.000415571,0.000415571
94,7741.55,1.57193,1.96379,1.79193,0.16287,0.0882,0.07109,0.03027,2.90973,4.34388,3.1877,0.000403473,0.000403473,0.000403473
95,7826.02,1.53876,1.87509,1.75921,0.41226,0.0882,0.07517,0.03621,2.82232,4.29679,3.11222,0.000391475,0.000391475,0.000391475
96,7908.52,1.53527,1.96198,1.75553,0.16587,0.14092,0.0956,0.03646,2.93039,4.23471,3.21334,0.000379582,0.000379582,0.000379582
97,7991.11,1.57429,1.96022,1.78877,0.23941,0.08057,0.07202,0.02938,2.92323,4.39337,3.19825,0.000367799,0.000367799,0.000367799
98,8073.57,1.51527,1.8185,1.75611,0.14155,0.0882,0.06203,0.02795,2.95844,4.48801,3.35956,0.000356132,0.000356132,0.000356132
99,8154.15,1.52998,1.86951,1.76823,0.10397,0.12367,0.0722,0.03575,2.88874,4.37087,3.16653,0.000344586,0.000344586,0.000344586
100,8236.37,1.45628,1.75424,1.7247,0.11326,0.11505,0.07828,0.04004,2.91154,4.28529,3.17891,0.000333165,0.000333165,0.000333165
101,8319.25,1.47386,1.7921,1.69168,0.23776,0.11505,0.09312,0.04252,2.88762,4.38654,3.08261,0.000321875,0.000321875,0.000321875
102,8399.91,1.51927,1.86796,1.74844,0.39154,0.10743,0.08595,0.03916,2.85681,4.39012,3.01594,0.000310721,0.000310721,0.000310721
